"game_id","date_played","away_team_id","home_team_id","away_score","home_score","winner","loser","created_at"
"746246","2024-04-23",110,108,4,7,"home","away","2025-05-19 12:45:20.44984-04"
"746722","2024-04-23",143,113,1,8,"home","away","2025-05-19 12:45:20.44984-04"
"744863","2024-04-23",119,120,4,1,"away","home","2025-05-19 12:45:20.44984-04"
"745102","2024-04-23",116,139,4,2,"away","home","2025-05-19 12:45:20.44984-04"
"745754","2024-04-23",133,147,3,4,"home","away","2025-05-19 12:45:20.44984-04"
"746888","2024-04-23",117,112,2,7,"home","away","2025-05-19 12:45:20.44984-04"
"745917","2024-04-23",145,142,5,6,"home","away","2025-05-19 12:45:20.44984-04"
"746321","2024-04-23",141,118,2,3,"home","away","2025-05-19 12:45:20.44984-04"
"745026","2024-04-23",136,140,4,0,"away","home","2025-05-19 12:45:20.44984-04"
"745188","2024-04-24",109,138,1,5,"home","away","2025-05-19 12:45:20.731075-04"
"745346","2024-04-24",121,137,8,2,"away","home","2025-05-19 12:45:20.731075-04"
"746244","2024-04-24",110,108,6,5,"away","home","2025-05-19 12:45:20.731075-04"
"744946","2024-04-27",119,141,4,2,"away","home","2025-05-19 12:45:21.483828-04"
"746972","2024-04-26",112,111,7,1,"away","home","2025-05-19 12:45:21.184803-04"
"746649","2024-04-24",111,114,8,0,"away","home","2025-05-19 12:45:20.731075-04"
"745099","2024-04-24",116,139,5,7,"home","away","2025-05-19 12:45:20.731075-04"
"747132","2024-04-24",146,144,3,4,"home","away","2025-05-19 12:45:20.731075-04"
"745513","2024-04-24",158,134,3,2,"away","home","2025-05-19 12:45:20.731075-04"
"745919","2024-04-24",145,142,3,6,"home","away","2025-05-19 12:45:20.731075-04"
"746725","2024-04-24",143,113,4,7,"home","away","2025-05-19 12:45:20.731075-04"
"746317","2024-04-24",141,118,2,3,"home","away","2025-05-19 12:45:20.731075-04"
"746889","2024-04-24",117,112,3,4,"home","away","2025-05-19 12:45:20.731075-04"
"745028","2024-04-24",136,140,1,5,"home","away","2025-05-19 12:45:20.731075-04"
"746567","2024-04-24",135,115,5,2,"away","home","2025-05-19 12:45:20.731075-04"
"744864","2024-04-24",119,120,11,2,"away","home","2025-05-19 12:45:20.731075-04"
"745753","2024-04-24",133,147,3,7,"home","away","2025-05-19 12:45:20.731075-04"
"745512","2024-04-25",158,134,7,5,"away","home","2025-05-19 12:45:20.979656-04"
"746646","2024-04-25",111,114,4,6,"home","away","2025-05-19 12:45:20.979656-04"
